1,2017-09-07,KC,@NE
1,2017-09-11,NO,@MIN
1,2017-09-11,LAC,@DEN
2,2017-09-14,HOU,@CIN
2,2017-09-18,DET,@NYG
3,2017-09-21,LAR,@SF
3,2017-09-25,DAL,@ARI
4,2017-09-28,CHI,@GB
4,2017-10-02,WSH,@KC
5,2017-10-05,NE,@TB
5,2017-10-09,MIN,@CHI
6,2017-10-12,PHI,@CAR
6,2017-10-16,IND,@TEN
7,2017-10-19,KC,@OAK
7,2017-10-23,WSH,@PHI
8,2017-10-26,MIA,@BAL
8,2017-10-30,DEN,@KC
9,2017-11-02,BUF,@NYJ
9,2017-11-06,DET,@GB
10,2017-11-09,SEA,@ARI
10,2017-11-13,MIA,@CAR
11,2017-11-16,TEN,@PIT
11,2017-11-20,ATL,@SEA
12,2017-11-23,MIN,@DET
12,2017-11-23,LAC,@DAL
12,2017-11-23,NYG,@WSH
12,2017-11-27,HOU,@BAL
13,2017-11-30,WSH,@DAL
13,2017-12-04,PIT,@CIN
14,2017-12-07,NO,@ATL
14,2017-12-11,NE,@MIA
15,2017-12-14,DEN,@IND
15,2017-12-16,CHI,@DET
15,2017-12-16,LAC,@KC
15,2017-12-18,ATL,@TB
16,2017-12-23,IND,@BAL
16,2017-12-23,MIN,@GB
16,2017-12-25,PIT,@HOU
16,2017-12-25,OAK,@PHI
