TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
ARI,@DET,@IND,DAL,SF,@PHI,TB,@LAR,BYE,@SF,SEA,@HOU,JAX,LAR,TEN,@WSH,NYG,@SEA
ATL,@CHI,GB,@DET,BUF,BYE,MIA,@NE,@NYJ,@CAR,DAL,@SEA,TB,MIN,NO,@TB,@NO,CAR
BAL,@CIN,CLE,@JAX,PIT,@OAK,CHI,@MIN,MIA,@TEN,BYE,@GB,HOU,DET,@PIT,@CLE,IND,CIN
BUF,NYJ,@CAR,DEN,@ATL,@CIN,BYE,TB,OAK,@NYJ,NO,@LAC,@KC,NE,IND,MIA,@NE,@MIA
CAR,@SF,BUF,NO,@NE,@DET,PHI,@CHI,@TB,ATL,MIA,BYE,@NYJ,@NO,MIN,GB,TB,@ATL
CHI,ATL,@TB,PIT,@GB,MIN,@BAL,CAR,@NO,BYE,GB,DET,@PHI,SF,@CIN,@DET,CLE,@MIN
CIN,BAL,HOU,@GB,@CLE,BUF,BYE,@PIT,IND,@JAX,@TEN,@DEN,CLE,PIT,CHI,@MIN,DET,@BAL
CLE,PIT,@BAL,@IND,CIN,NYJ,@HOU,TEN,MIN,BYE,@DET,JAX,@CIN,@LAC,GB,BAL,@CHI,@PIT
DAL,NYG,@DEN,@ARI,LAR,GB,BYE,@SF,@WSH,KC,@ATL,PHI,LAC,WSH,@NYG,@OAK,SEA,@PHI
DEN,LAC,DAL,@BUF,OAK,BYE,NYG,@LAC,@KC,@PHI,NE,CIN,@OAK,@MIA,NYJ,@IND,@WSH,KC
DET,ARI,@NYG,ATL,@MIN,CAR,@NO,BYE,PIT,@GB,CLE,@CHI,MIN,@BAL,@TB,CHI,@CIN,GB
GB,SEA,@ATL,CIN,CHI,@DAL,@MIN,NO,BYE,DET,@CHI,BAL,@PIT,TB,@CLE,@CAR,MIN,@DET
HOU,JAX,@CIN,@NE,TEN,KC,CLE,BYE,@SEA,IND,@LAR,ARI,@BAL,@TEN,SF,@JAX,PIT,@IND
IND,@LAR,ARI,CLE,@SEA,SF,@TEN,JAX,@CIN,@HOU,PIT,BYE,TEN,@JAX,@BUF,DEN,@BAL,HOU
JAX,@HOU,TEN,BAL,@NYJ,@PIT,LAR,@IND,BYE,CIN,LAC,@CLE,@ARI,IND,SEA,HOU,@SF,@TEN
KC,@NE,PHI,@LAC,WSH,@HOU,PIT,@OAK,DEN,@DAL,BYE,@NYG,BUF,@NYJ,OAK,LAC,MIA,@DEN
LAR,IND,WSH,@SF,@DAL,SEA,@JAX,ARI,BYE,@NYG,HOU,@MIN,NO,@ARI,PHI,@SEA,@TEN,SF
LAC,@DEN,MIA,KC,PHI,@NYG,@OAK,DEN,@NE,BYE,@JAX,BUF,@DAL,CLE,WSH,@KC,@NYJ,OAK
MIA,BYE,@LAC,@NYJ,NO,TEN,@ATL,NYJ,@BAL,OAK,@CAR,TB,@NE,DEN,NE,@BUF,@KC,BUF
MIN,NO,@PIT,TB,DET,@CHI,GB,BAL,@CLE,BYE,@WSH,LAR,@DET,@ATL,@CAR,CIN,@GB,CHI
NE,KC,@NO,HOU,CAR,@TB,@NYJ,ATL,LAC,BYE,@DEN,@OAK,MIA,@BUF,@MIA,@PIT,BUF,NYJ
NO,@MIN,NE,@CAR,@MIA,BYE,DET,@GB,CHI,TB,@BUF,WSH,@LAR,CAR,@ATL,NYJ,ATL,@TB
NYG,@DAL,DET,@PHI,@TB,LAC,@DEN,SEA,BYE,LAR,@SF,KC,@WSH,@OAK,DAL,PHI,@ARI,WSH
NYJ,@BUF,@OAK,MIA,JAX,@CLE,NE,@MIA,ATL,BUF,@TB,BYE,CAR,KC,@DEN,@NO,LAC,@NE
OAK,@TEN,NYJ,@WSH,@DEN,BAL,LAC,KC,@BUF,@MIA,BYE,NE,DEN,NYG,@KC,DAL,@PHI,@LAC
PHI,@WSH,@KC,NYG,@LAC,ARI,@CAR,WSH,SF,DEN,BYE,@DAL,CHI,@SEA,@LAR,@NYG,OAK,DAL
PIT,@CLE,MIN,@CHI,@BAL,JAX,@KC,CIN,@DET,BYE,@IND,TEN,GB,@CIN,BAL,NE,@HOU,CLE
SF,CAR,@SEA,LAR,@ARI,@IND,@WSH,DAL,@PHI,ARI,NYG,BYE,SEA,@CHI,@HOU,TEN,JAX,@LAR
SEA,@GB,SF,@TEN,IND,@LAR,BYE,@NYG,HOU,WSH,@ARI,ATL,@SF,PHI,@JAX,LAR,@DAL,ARI
TB,BYE,CHI,@MIN,NYG,NE,@ARI,@BUF,CAR,@NO,NYJ,@MIA,@ATL,@GB,DET,ATL,@CAR,NO
TEN,OAK,@JAX,SEA,@HOU,@MIA,IND,@CLE,BYE,BAL,CIN,@PIT,@IND,HOU,@ARI,@SF,LAR,JAX
WSH,PHI,@LAR,OAK,@KC,BYE,SF,@PHI,DAL,@SEA,MIN,@NO,NYG,@DAL,@LAC,ARI,DEN,@NYG
